time,zone,pressure
0.4000000000000002,ESC_PER,10.0
0.4100000000000002,EXTERIOR,0.0
0.4100000000000002,GRANULACION_II,30.0
0.4100000000000002,ESC_MAT,15.0
0.4100000000000002,ESC_PER,10.0
0.4200000000000002,EXTERIOR,0.0
0.4200000000000002,GRANULACION_II,30.0
0.4200000000000002,ESC_MAT,15.0
0.4200000000000002,ESC_PER,10.0
0.4300000000000002,EXTERIOR,0.0
0.4300000000000002,GRANULACION_II,30.0
0.4300000000000002,ESC_MAT,15.0
0.4300000000000002,ESC_PER,10.0
0.4400000000000002,EXTERIOR,0.0
0.4400000000000002,GRANULACION_II,30.0
0.4400000000000002,ESC_MAT,15.0
0.4400000000000002,ESC_PER,10.0
0.45000000000000023,EXTERIOR,0.0
0.45000000000000023,GRANULACION_II,30.0
0.45000000000000023,ESC_MAT,15.0
0.45000000000000023,ESC_PER,10.0
0.46000000000000024,EXTERIOR,0.0
0.46000000000000024,GRANULACION_II,30.0
0.46000000000000024,ESC_MAT,15.0
0.46000000000000024,ESC_PER,10.0
0.47000000000000025,EXTERIOR,0.0
0.47000000000000025,GRANULACION_II,30.0
0.47000000000000025,ESC_MAT,15.0
0.47000000000000025,ESC_PER,10.0
0.48000000000000026,EXTERIOR,0.0
0.48000000000000026,GRANULACION_II,30.0
0.48000000000000026,ESC_MAT,15.0
0.48000000000000026,ESC_PER,10.0
0.49000000000000027,EXTERIOR,0.0
0.49000000000000027,GRANULACION_II,30.0
0.49000000000000027,ESC_MAT,15.0
0.49000000000000027,ESC_PER,10.0
0.5000000000000002,EXTERIOR,0.0
0.5000000000000002,GRANULACION_II,30.0
0.5000000000000002,ESC_MAT,15.0
0.5000000000000002,ESC_PER,10.0
0.5100000000000002,EXTERIOR,0.0
0.5100000000000002,GRANULACION_II,30.0
0.5100000000000002,ESC_MAT,15.0
0.5100000000000002,ESC_PER,10.0
0.5200000000000002,EXTERIOR,0.0
0.5200000000000002,GRANULACION_II,30.0
0.5200000000000002,ESC_MAT,15.0
0.5200000000000002,ESC_PER,10.0
0.5300000000000002,EXTERIOR,0.0
0.5300000000000002,GRANULACION_II,30.0
0.5300000000000002,ESC_MAT,15.0
0.5300000000000002,ESC_PER,10.0
0.5400000000000003,EXTERIOR,0.0
0.5400000000000003,GRANULACION_II,30.0
0.5400000000000003,ESC_MAT,15.0
0.5400000000000003,ESC_PER,10.0
0.5500000000000003,EXTERIOR,0.0
0.5500000000000003,GRANULACION_II,30.0
0.5500000000000003,ESC_MAT,15.0
0.5500000000000003,ESC_PER,10.0
0.5600000000000003,EXTERIOR,0.0
0.5600000000000003,GRANULACION_II,30.0
0.5600000000000003,ESC_MAT,15.0
0.5600000000000003,ESC_PER,10.0
0.5700000000000003,EXTERIOR,0.0
0.5700000000000003,GRANULACION_II,30.0
0.5700000000000003,ESC_MAT,15.0
0.5700000000000003,ESC_PER,10.0
0.5800000000000003,EXTERIOR,0.0
0.5800000000000003,GRANULACION_II,30.0
0.5800000000000003,ESC_MAT,15.0
0.5800000000000003,ESC_PER,10.0
0.5900000000000003,EXTERIOR,0.0
0.5900000000000003,GRANULACION_II,30.0
0.5900000000000003,ESC_MAT,15.0
0.5900000000000003,ESC_PER,10.0
0.6000000000000003,EXTERIOR,0.0
0.6000000000000003,GRANULACION_II,30.0
0.6000000000000003,ESC_MAT,15.0
0.6000000000000003,ESC_PER,10.0
0.6100000000000003,EXTERIOR,0.0
0.6100000000000003,GRANULACION_II,30.0
0.6100000000000003,ESC_MAT,15.0
0.6100000000000003,ESC_PER,10.0
0.6200000000000003,EXTERIOR,0.0
0.6200000000000003,GRANULACION_II,30.0
0.6200000000000003,ESC_MAT,15.0
0.6200000000000003,ESC_PER,10.0
0.6300000000000003,EXTERIOR,0.0
0.6300000000000003,GRANULACION_II,30.0
0.6300000000000003,ESC_MAT,15.0
0.6300000000000003,ESC_PER,10.0
0.6400000000000003,EXTERIOR,0.0
0.6400000000000003,GRANULACION_II,30.0
0.6400000000000003,ESC_MAT,15.0
0.6400000000000003,ESC_PER,10.0
0.6500000000000004,EXTERIOR,0.0
0.6500000000000004,GRANULACION_II,30.0
0.6500000000000004,ESC_MAT,15.0
0.6500000000000004,ESC_PER,10.0
0.6600000000000004,EXTERIOR,0.0
0.6600000000000004,GRANULACION_II,30.0
0.6600000000000004,ESC_MAT,15.0
0.6600000000000004,ESC_PER,10.0
0.6700000000000004,EXTERIOR,0.0
0.6700000000000004,GRANULACION_II,30.0
0.6700000000000004,ESC_MAT,15.0
0.6700000000000004,ESC_PER,10.0
0.6800000000000004,EXTERIOR,0.0
0.6800000000000004,GRANULACION_II,30.0
0.6800000000000004,ESC_MAT,15.0
0.6800000000000004,ESC_PER,10.0
0.6900000000000004,EXTERIOR,0.0
0.6900000000000004,GRANULACION_II,30.0
0.6900000000000004,ESC_MAT,15.0
0.6900000000000004,ESC_PER,10.0
0.7000000000000004,EXTERIOR,0.0
0.7000000000000004,GRANULACION_II,30.0
