time,zone,pressure,excess_mass
0.0,GRANULACION_II,29.82237886186184,0.10559798578831356
0.0,ESC_MAT,15.393772990699576,0.009146608020025423
0.0,ESC_PER,10.60957292962557,0.005043161538411008
0.01,GRANULACION_II,29.64823511782878,0.10498136064607703
0.01,ESC_MAT,15.776827258318926,0.009374209611813799
0.01,ESC_PER,11.202064003320356,0.0053247966442281115
0.02,GRANULACION_II,29.47754812484677,0.10437697550488315
0.02,ESC_MAT,16.149265718317423,0.009595503547176252
0.02,ESC_PER,11.777725906689426,0.005598432160893704
0.03,GRANULACION_II,29.310297009935844,0.10378475645564997
0.03,ESC_MAT,16.511190216192208,0.00981055034024675
0.03,ESC_PER,12.33679761130249,0.005864181681314596
0.04,GRANULACION_II,29.146460621735745,0.10320462860357953
0.04,ESC_MAT,16.862701782258164,0.010019410020797648
0.04,ESC_PER,12.87950671295474,0.006122153391029289
0.05,GRANULACION_II,28.98601748440467,0.10263651590491799
0.05,ESC_MAT,17.203900868899076,0.010222142275208613
0.05,ESC_PER,13.406071338266898,0.006372450974492508
0.060000000000000005,GRANULACION_II,28.828945753055372,0.1020803410091594
0.060000000000000005,ESC_MAT,17.534887573393636,0.010418806578864431
0.060000000000000005,ESC_PER,13.916701724380676,0.006615174365968724
0.07,GRANULACION_II,28.675223170085797,0.10153602510441703
0.07,ESC_MAT,17.85576184894544,0.010609462321543969
0.07,ESC_PER,14.411601547442686,0.006850420381014575
0.08,GRANULACION_II,28.524827021884825,0.10100348776412277
0.08,ESC_MAT,18.166623706163328,0.010794168927134877
0.08,ESC_PER,14.89096905564168,0.007078283255057555
0.09,GRANULACION_II,28.377734095483337,0.1004826467935331
0.09,ESC_MAT,18.467573406925272,0.01097298596882287
0.09,ESC_PER,15.354998048607234,0.00729885510894405
0.09999999999999999,GRANULACION_II,28.23392063478727,0.09997341807475463
0.09999999999999999,ESC_MAT,18.75871165230236,0.011145973280751599
0.09999999999999999,ESC_PER,15.803878735016601,0.0075122263565947445
0.10999999999999999,GRANULACION_II,28.093362296078983,0.0994757154091793
0.10999999999999999,ESC_MAT,19.04013976600506,0.011313191067021992
0.10999999999999999,ESC_PER,16.2377984930243,0.007718486066467749
0.11999999999999998,GRANULACION_II,27.95603410251232,0.09898945035635573
0.11999999999999998,ESC_MAT,19.311959874633743,0.011474700008792759
0.11999999999999998,ESC_PER,16.656942552796842,0.007917722285995101
0.12999999999999998,GRANULACION_II,27.82191039735666,0.0985145320684315
0.12999999999999998,ESC_MAT,19.574275085860908,0.011630561370151967
0.12999999999999998,ESC_PER,17.061494616446502,0.008110022336262512
0.13999999999999999,GRANULACION_II,27.690964795771016,0.09805086711938996
