time,link,area,delta_p
0.37000000000000016,L4,0.003,10.0
0.38000000000000017,L1,0.015,15.0
0.38000000000000017,L2,0.015,20.0
0.38000000000000017,L3,0.003,15.0
0.38000000000000017,L4,0.003,10.0
0.3900000000000002,L1,0.015,15.0
0.3900000000000002,L2,0.015,20.0
0.3900000000000002,L3,0.003,15.0
0.3900000000000002,L4,0.003,10.0
0.4000000000000002,L1,0.015,15.0
0.4000000000000002,L2,0.015,20.0
0.4000000000000002,L3,0.003,15.0
0.4000000000000002,L4,0.003,10.0
0.4100000000000002,L1,0.015,15.0
0.4100000000000002,L2,0.015,20.0
0.4100000000000002,L3,0.003,15.0
0.4100000000000002,L4,0.003,10.0
0.4200000000000002,L1,0.015,15.0
0.4200000000000002,L2,0.015,20.0
0.4200000000000002,L3,0.003,15.0
0.4200000000000002,L4,0.003,10.0
0.4300000000000002,L1,0.015,15.0
0.4300000000000002,L2,0.015,20.0
0.4300000000000002,L3,0.003,15.0
0.4300000000000002,L4,0.003,10.0
0.4400000000000002,L1,0.015,15.0
0.4400000000000002,L2,0.015,20.0
0.4400000000000002,L3,0.003,15.0
0.4400000000000002,L4,0.003,10.0
0.45000000000000023,L1,0.015,15.0
0.45000000000000023,L2,0.015,20.0
0.45000000000000023,L3,0.003,15.0
0.45000000000000023,L4,0.003,10.0
0.46000000000000024,L1,0.015,15.0
0.46000000000000024,L2,0.015,20.0
0.46000000000000024,L3,0.003,15.0
0.46000000000000024,L4,0.003,10.0
0.47000000000000025,L1,0.015,15.0
0.47000000000000025,L2,0.015,20.0
0.47000000000000025,L3,0.003,15.0
0.47000000000000025,L4,0.003,10.0
0.48000000000000026,L1,0.015,15.0
0.48000000000000026,L2,0.015,20.0
0.48000000000000026,L3,0.003,15.0
0.48000000000000026,L4,0.003,10.0
0.49000000000000027,L1,0.015,15.0
0.49000000000000027,L2,0.015,20.0
0.49000000000000027,L3,0.003,15.0
0.49000000000000027,L4,0.003,10.0
0.5000000000000002,L1,0.015,15.0
0.5000000000000002,L2,0.015,20.0
0.5000000000000002,L3,0.003,15.0
0.5000000000000002,L4,0.003,10.0
0.5100000000000002,L1,0.015,15.0
0.5100000000000002,L2,0.015,20.0
0.5100000000000002,L3,0.003,15.0
0.5100000000000002,L4,0.003,10.0
0.5200000000000002,L1,0.015,15.0
0.5200000000000002,L2,0.015,20.0
0.5200000000000002,L3,0.003,15.0
0.5200000000000002,L4,0.003,10.0
0.5300000000000002,L1,0.015,15.0
0.5300000000000002,L2,0.015,20.0
0.5300000000000002,L3,0.003,15.0
0.5300000000000002,L4,0.003,10.0
0.5400000000000003,L1,0.015,15.0
0.5400000000000003,L2,0.015,20.0
0.5400000000000003,L3,0.003,15.0
0.5400000000000003,L4,0.003,10.0
0.5500000000000003,L1,0.015,15.0
0.5500000000000003,L2,0.015,20.0
